,Unnamed: 0,area,PT_NDVI_0,LT_mag,PT_NDVI_2,PT_NDVI_1,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_4,PT_NDVI_3,PT_NDMI_1,PT_NDMI_0,PT_NDVI_5,PT_NDMI_3,PT_NDMI_2,PT_NDMI_5,PT_NDMI_4,label,Area,Perimeter,P/A,P/sqrt(A),Max.Distanc,D/A,D/sqrt(A),Shape Index,NDVI_slope,NDVI_intercept,NDVI_rvalue,NDVI_pvalue,NDMI_slope,NDMI_intercept,NDMI_rvalue,NDMI_pvalue,NBR_slope,NBR_intercept,NBR_rvalue,NBR_pvalue
153,1293,46439.716676,0.45746302518,289.275,0.5547965923,0.56029374844,0.32948960062,0.4234425781,0.47233201725,0.49537402571,0.56707246691,0.55147375077,0.67757742951,0.59714906331,0.10931871994,0.037261959073,0.62464904282,0.18030874494000002,0.15340772639,0.23957044353,0.27562752007,2.0,46439.716676,0.012396750921,2056.5046491999997,5.0491559595,0.0038302377155,635.40049483,1.5600432493,1.424340599,0.025149142596999997,0.5274457474850001,0.7869857495193987,0.11417183999698238,0.03827232408600001,0.07682965871599998,0.9092345259010108,0.03237516243786823,0.035080279500000006,0.3966981292480001,0.9451028794120893,0.015312613005329984
154,1297,63229.8906,0.44648906011000006,254.40816327,0.52898036642,0.5284154689399999,0.26720292760000003,0.32146814690000003,0.38254385844000005,0.41547231416,0.48479062266,0.43014355148999994,0.61488238689,0.57319246879,0.01115661183,-0.025336612621,0.57008093015,0.095062864087,0.064931361515,0.12219827147,0.18734166204,2.0,63229.8906,0.015630685944,1904.5812584000003,5.456181036599999,0.0054568494485,664.9108828,1.90481458,1.5391602534,0.016923294289000024,0.5123404413709998,0.7421946079801115,0.15091070380255356,0.0344493619805,-0.007209931753099988,0.8307905666797987,0.08140078930831274,0.03195975733999998,0.31100442671000006,0.8372133989698614,0.07688867600520294
155,1306,22953.452096,0.45001901431999997,292.06666667,0.63093929465,0.59217394416,0.35812646877,0.511691414,0.52561962023,0.4815595528,0.5395157736999999,0.5490532124899999,0.63846127725,0.5616475561800001,0.179209675,0.050986738489,0.6071481835600001,0.1467920042,0.18075349582000003,0.22156485805999998,0.23603034783000004,2.0,22953.452096,0.0080848375571,2715.1095315000002,4.6852128567,0.0028647667368000003,962.06700726,1.6601498609999998,1.3216741452,0.003747046140000021,0.5948329127399999,0.19133295127210279,0.7578819652007446,0.013998721812999996,0.15087391074300005,0.6172886579244538,0.2672917790369529,0.008861975044999993,0.49490198950900005,0.5303467572476663,0.35788789315409353
156,1334,17358.742706999998,0.46206021936,237.36363636,0.63673692749,0.5933626621,0.41691774689000005,0.50785817158,0.56148268138,0.54977636953,0.60801370875,0.58980385142,0.6841422704000001,0.5857949218399999,0.18474781129,0.10450857744999999,0.6304850789800001,0.21093550661,0.22127162016,0.31389092534,0.3097496648,2.0,17358.742706999998,0.0064678700457,2872.7610526999997,4.310527248600001,0.0020524096144000003,911.59568187,1.3678332288,1.2159772866,0.012165017667000023,0.5896093191609999,0.4886569693356317,0.40355651685579197,0.034676427274,0.14408982381799998,0.9188077846831387,0.027431169844133425,0.021042238705000008,0.500260240417,0.8617993620104848,0.06037883346861612
157,1338,35849.731749,0.4521374409100001,295.14814815,0.62634619605,0.62162539363,0.27057524654,0.44955412112,0.49717490608000003,0.49183764355,0.53031041939,0.37717153924,0.62940439209,0.6071607396,0.11769455136,-0.014894356817000002,0.16026465525,0.15669460339000002,0.15603010159000003,0.19630131450999996,0.22878222284000002,2.0,35849.731749,0.010240794239000001,2203.1982553000003,4.75,0.0036655226534,788.59831826,1.7001838136,1.3399502609,-0.091966328072,0.80485925954,-0.7049108980197164,0.18367016663791022,0.022996564754999994,0.10211086447300002,0.8541237357162043,0.06539913676487454,-0.011162965044999995,0.5026986210109999,-0.29957853991460337,0.6243496028431472
158,1339,57703.71150700001,0.48650396274999996,251.13513514,0.55737765611,0.61076953573,0.34667391019,0.49556146982,0.55821829485,0.58897228553,0.6884152090700001,0.35703285227,0.50474100148,0.68561487811,0.15357350275999998,0.034088986496,0.28741174329,0.24251453405,0.20445323034000001,0.20927977866,0.41561473747,2.0,57703.71150700001,0.015630685944,2089.4920602,5.7149098134,0.0049545976666,662.32489879,1.8115058372,1.6121462938,-0.069935223951,0.738988634797,-0.7332291892614504,0.1586171096404437,0.032257405893,0.148314938977,0.5075389258384166,0.3827103941667853,-0.014686032087999991,0.5816981185719999,-0.18931025076389774,0.7604102736528682
159,1377,29910.032185000004,0.44276838666999996,287.75,0.61368201397,0.20546284622000002,0.41690843911,0.18657279897999998,0.49102797828,0.51659831791,0.5000234169,0.41754305858999996,0.5924111693,0.6395030606700001,0.065533892079,0.10699194233999999,0.43071328986999996,0.16417618827,0.14951997595,0.20141694557,0.15984912327,2.0,29910.032185000004,0.0097018050685,2473.7664621,4.8989794856,0.0036655226533,934.63504387,1.8509256943,1.3819765978999998,0.04292300426299999,0.36758546321700003,0.373016724697461,0.536316460982029,0.0282095254302,0.06347064873719999,0.8894717771700046,0.04337197053109291,0.04709359578399999,0.28107232678000005,0.5428983381829303,0.3444027992254463
160,1379,24949.191977000002,0.5449223578,255.33333333,0.69718975359,0.5156806018600001,0.49064031508,0.42761479351,0.59867882861,0.56807003948,0.55080253548,0.5619316869300001,0.59638609621,0.6496193567899999,0.10787646769999999,0.15851108515,0.66802685261,0.21447382073,0.24703163538000003,0.25079912444,0.19498408005999998,2.0,24949.191977000002,0.0080848375571,2473.7664621,4.472135955,0.0024846173096,760.23332913,1.3743685419,1.261566261,0.020388884412,0.5642138789760001,0.4510026508911137,0.44587438954329434,0.023379775816000002,0.13289369821400002,0.6370741548301051,0.24767152627850203,0.02207574937100002,0.47519232868899997,0.5284791882625518,0.3599051862860119
161,1387,28852.770952999996,0.58275513064,229.0,0.65834789322,0.5479984813300001,0.4889193801899999,0.50746260583,0.59647405033,0.54604318394,0.51214492321,0.57497057319,0.5991145613100001,0.62694526521,0.1807413275,0.13366467047,0.62639645201,0.17275307815000002,0.24569095814,0.27375485547,0.16737597292,2.0,28852.770952999996,0.0097018050685,2568.9113260000004,4.992301766000001,0.0031543532477,835.23156022,1.6231498343000001,1.4083023272,0.009756260945000006,0.582491747781,0.3730211961072803,0.5363111787184778,0.010771207072000003,0.17574961722,0.3516927217354964,0.5616212443135149,0.0050686807599999995,0.53221302502,0.20678756199918044,0.7385985510248356
162,1410,26029.199945,0.45757756208000006,256.73684211,0.65664179274,0.47933064560000005,0.46815759429,0.49478843681,0.6385155168,0.57246692193,0.63657236226,0.34091460768,0.67396785858,0.54782082743,0.15338135114,0.17668248138,0.37687540752,0.21970811581,0.29121004457,0.18804671695,0.28199962479,2.0,26029.199945,0.0080848375571,2368.4998041,4.3759497449,0.002667860282,781.56506061,1.4439897447999999,1.2344326320999999,-0.018758441032000018,0.60320262947,-0.23887997730983662,0.6987665102506397,0.006012031184,0.2088330771,0.1598919680828074,0.797290019312896,-0.03096908128,0.629558812936,-0.39423511576875797,0.5113680497271073
