,Unnamed: 0,area,PT_NDVI_0,LT_mag,PT_NDVI_2,PT_NDVI_1,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_4,PT_NDVI_3,PT_NDMI_1,PT_NDMI_0,PT_NDVI_5,PT_NDMI_3,PT_NDMI_2,PT_NDMI_5,PT_NDMI_4,label,NDVI_slope,NDVI_intercept,NDVI_rvalue,NDVI_pvalue,NDMI_slope,NDMI_intercept,NDMI_rvalue,NDMI_pvalue,NBR_slope,NBR_intercept,NBR_rvalue,NBR_pvalue
242,1986,48021.557070999996,0.54619743796282,320.80434783,0.592711633027986,0.6354413136493331,0.377133405312549,0.48545294896114705,0.509795274498851,0.49409895026406603,0.60835189389628,0.591974540505298,0.7004061098708659,0.561549677405246,0.17011858864016,0.07623046898109799,0.649928444346716,0.158727562531482,0.189567199973173,0.241217897208624,0.258040528657825,2.0,0.01366687382376458,0.5870068141887357,0.4040733304203595,0.49988285839510477,0.021067194582158,0.1403327716557788,0.7587009405788852,0.13702109000663368,0.031159980248573083,0.4444547808794091,0.8529263398227522,0.06619351704909061
243,1990,111322.82216999998,0.529399677736675,288.47727273,0.5658870585000689,0.5840820608726099,0.36878524832989096,0.43262951899713004,0.465936858600108,0.436094077687767,0.547304504930075,0.547094404996939,0.588270108753712,0.49739471467296104,0.113357655806982,0.062870471493383,0.613654459391407,0.10733490385789098,0.13381707353807598,0.194593048050775,0.19610093189543804,2.0,0.008152784729123707,0.5453993262507807,0.29330823041318044,0.6319743341683572,0.02247546428449481,0.081614329776348,0.818828900879764,0.09001152431631117,0.031029741832958486,0.39272264754352837,0.8530279710131954,0.06612597650235102
244,1996,85326.309887,0.5436874369001079,282.92405063,0.527191166979036,0.601906305629443,0.39545984819434005,0.438131188937262,0.46616025989741294,0.356958371264483,0.510016522084186,0.47855315722671204,0.642516376535877,0.47379486701067797,0.1320143922086,0.094372324468994,0.520943226377948,0.06178039760828,0.145463360790042,0.164324957025207,0.180345814272585,2.0,-0.004660094894614908,0.5672506731904411,-0.1087222843316648,0.861843692284027,0.0099503583115757,0.10693470944621569,0.3437344122425459,0.5711217655514995,0.012470019876567318,0.41255384025230923,0.3396927021906298,0.5759580546496137
245,1998,104955.83564,0.50988205744231,331.73684211,0.505899925022683,0.5569272945458821,0.38888546701599896,0.407595912342183,0.412672298940572,0.276332658316408,0.5289265679869251,0.525204433722699,0.629659083612422,0.38484324332206504,0.111918315478325,0.08843881393179198,0.5852171640763891,0.072507688654708,0.11890861934714698,0.198921133744273,0.20368596352636803,2.0,0.018033889765075306,0.47840767282066227,0.3034196112610392,0.6196865794491266,0.025878298071111708,0.06355344993682908,0.7093491490304599,0.17967448130327032,0.0351471311807385,0.32470498071954196,0.5343380137140441,0.35358598528904067
246,1999,22871.393827,0.4571420426775771,242.04545455,0.5322355264570661,0.567952565171502,0.47624278504674,0.484669826247475,0.5333757400512701,0.7316826465653209,0.5946907372009461,0.607660170008497,0.6128016492215601,0.22267169814284302,0.177079973234372,0.163918823548933,0.6177639670488311,0.446962640779774,0.21729551292047303,0.28235744157942305,0.278844498279618,2.0,0.018018892651915207,0.45662840325261467,0.17291570044093446,0.7809390065254809,0.027210392204924706,0.19887683674395787,0.417848198225998,0.483893826533378,0.030729568467172008,0.4982271186131858,0.5216068237085616,0.36735221224853754
247,2004,105971.6443,0.520535294790017,245.79268293,0.516815548194082,0.555351495742798,0.390345590130279,0.37731925272836103,0.39915855989644394,0.290016338647751,0.447823501339084,0.445985930687503,0.5937044037015821,0.44843843026777297,0.08520350317095701,0.08621884466786099,0.5655198202321401,0.00202110991944,0.090975359629987,0.125429497963571,0.12762372090946902,2.0,0.009722550448618429,0.5067982882818197,0.27378490610164247,0.6558115500393701,0.011710035086471001,0.05112053305927182,0.3637297497251596,0.5473094261526462,0.018599829736092394,0.3362612274515514,0.4551710504775905,0.4411430519861029
248,2005,71438.456461,0.45576526597142203,259.94827586,0.557133218506351,0.603309447411448,0.304753659642301,0.437304968205024,0.459592080675066,0.318879629240224,0.529644126538187,0.53261208278127,0.6467860713601109,0.464332677969118,0.135676653835717,0.066205063092866,0.594026430975646,0.04710801876924099,0.15679138613631902,0.200261450489052,0.192942861525808,2.0,0.007108681998215594,0.5517915232498879,0.1636649679135306,0.7925493714099288,0.016532106869615898,0.0969597535423797,0.42475220217049264,0.47592160333459843,0.02606662750156131,0.3774066949832703,0.47232927395540125,0.42178815533801595
249,2008,20651.595452,0.555563156669204,224.81818182,0.573267488866239,0.669077219189824,0.44914467028669397,0.524546528184736,0.496026145445334,0.42265374032226793,0.5579334481342421,0.504208443132607,0.6770834503947081,0.42795482438963794,0.19188303359457,0.12402089582000998,0.5675835255030041,0.090790427642295,0.17333236276298,0.151338393019663,0.20090920437832102,2.0,-0.009917142584517081,0.6127447294222338,-0.15557880520593614,0.8027129562554179,-0.005351243953447299,0.1777044161399077,-0.19260537319034235,0.756291999681117,0.002123113258465009,0.4947043212684423,0.06724304686559762,0.9144480584435459
250,2009,45748.991732999995,0.478773304965438,453.22727273,0.500904478677889,0.5564479300888571,0.373418547930026,0.37126589784534997,0.39912337246464497,0.32011031963658,0.4304801545492029,0.45161923330004605,0.581740057323037,0.444401580022603,0.098484988168177,0.10928219941830901,0.53259773588762,0.036909036434372,0.11941888829602301,0.138053417819121,0.12785604336617,2.0,0.0033135190242673976,0.5132777993271991,0.09845386762100351,0.8748474528962688,0.008757401437203502,0.0778722705051621,0.34354649279116356,0.5713464610088511,0.019206345299395012,0.33690075966097977,0.5884710150241088,0.2965631409047892
251,2010,23999.367473,0.40904164660808706,341.89473684,0.457998165557551,0.5817395254623061,0.24274847881738504,0.37544298507273205,0.35607660683088505,0.491497009992599,0.49668114337810204,0.439078245745149,0.605587388193885,0.350180519123872,0.074053917080164,0.039576448584084,0.565463371055071,0.123948899408182,0.078143834824089,0.12188219712224099,0.16048133602842302,2.0,0.011503691382186388,0.47768271973197785,0.1703884362673898,0.7841090583678699,0.0177994061288488,0.058303818506073385,0.7823196694769897,0.11785487799380759,0.026787505789205086,0.35139268083627806,0.6547887400824248,0.2304538739182532
