,area,PT_NDVI_0,LT_mag,PT_NDVI_2,PT_NDVI_1,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_4,PT_NDVI_3,PT_NDMI_1,PT_NDMI_0,PT_NDVI_5,PT_NDMI_3,PT_NDMI_2,PT_NDMI_5,PT_NDMI_4,Perimeter,P/A,P/sqrt(A),Max.Distanc,D/A,D/sqrt(A),Shape Index,NDVI_slope,NDVI_intercept,NDVI_rvalue,NDVI_pvalue,NDMI_slope,NDMI_intercept,NDMI_rvalue,NDMI_pvalue,NBR_slope,NBR_intercept,NBR_rvalue,NBR_pvalue,label
749,86513.805697,0.61687537507,346.80952381,0.61656530504,0.48356551932,0.45401120415,0.52203826908,0.52728041798,0.51966961822,0.63439898057,0.68163010415,0.7157360740500001,0.5943029564600001,0.18882018317,0.1462418465,0.7880849154699999,0.19734731139000006,0.23141132066,0.36968877891,0.28369583189,0.016708664285,1608.8131537000004,5.1847004621,0.005684994503500001,547.3863008999998,1.7640544526,1.4625769972999998,0.07082095613099999,0.42718808567500005,0.9569207996325784,0.010663723741468492,0.041402170271,0.12998617439100002,0.8780452544494955,0.05017916401488935,0.04263022327300001,0.4491128081809999,0.8884825119765817,0.04394879276624062,1.0
261,33176.707226,0.62067130307,223.14285714,0.56524071296,0.68980304599,0.5030330831800001,0.59054996173,0.54948949218,0.44955328703,0.60565094451,0.56894013484,0.6720076998100001,0.4990050748,0.24899008622,0.16939726795,0.6094483792800001,0.11804619009000003,0.20945923875,0.22682408045,0.24777497053000005,0.010779783409,2473.7664621,5.1639777949,0.0036256788325,832.02809902,1.736855396,1.4567312408000002,-0.005394234656999975,0.6232836865389999,-0.10899105053296368,0.8615035220901475,-0.000601627975999991,0.21202379713599998,-0.017599452348599463,0.9775928381526384,0.0012941798549999995,0.5489542244930001,0.03325015943223618,0.9576723842528378,1.0
271,83244.439149,0.24012303957,268.4137931,0.6782494684100001,0.36674626887,0.42639878427,0.39528221617,0.5919903421399999,0.5544328194899999,0.58845887307,0.5358530984300001,0.6737947688,0.5945222721500001,0.14729647229,0.20849236452,0.61593657772,0.22612578834,0.24292592257,0.20240112374,0.24686390035,0.018864620966,1731.6365234999996,5.7154760665,0.0049692346192,456.13999748,1.5055453054,1.6123060309,0.049392591809,0.43767209576300004,0.6114237092146029,0.2731838178355536,0.011414728068000006,0.17887845725399998,0.4428498106502909,0.4551604583721153,0.027761029545000027,0.4499203812249999,0.5445534325169423,0.34263419450654353,2.0
311,19593.8984,0.4289306759800001,263.61538462,0.6341183594300001,0.3894370624,0.56415452191,0.4232799938699999,0.4421452266800001,0.46806968961,0.4572076261,0.48242165872,0.6283085567600001,0.58323641164,0.16929486479000005,0.21629431961,0.62269539322,0.13578467935,0.11651321415,0.13262896324999998,0.11845640647,0.007006859216100001,2756.4826292,4.3948021246,0.0021727348079,854.74897827,1.3627702877,1.2397507902,0.046070685897,0.433347098999,0.7021316300503543,0.1861850077275491,-0.007138861076000008,0.15595220883000002,-0.5325804838214273,0.35547873697444965,0.013334572912000015,0.4146211202599999,0.9205372882033966,0.02656645105569464,2.0
259,30973.304062,0.49499642955,306.86206897,0.51183279125,0.6811815358300001,0.58358146357,0.54278631437,0.26857290816,0.32431405197,0.39239656978,0.41881076992,0.5530094115899999,0.47762334985,0.18546406215,0.25342908182,0.54643053987,0.010416618723,-0.011798846336,0.12655306967,0.071540367274,0.010779783409,2650.4640665,5.3452248383,0.0041224744468,1013.6075996,2.0441554316,1.5078600877,-0.022832537158000026,0.6225131371520001,-0.4675806686177926,0.4271249921253276,-0.003448277135,0.08677988570119999,-0.06690104832615809,0.9148825239402116,-0.01241274272800001,0.42661435102399997,-0.18877370238482055,0.7610811103021909,1.0
761,30249.593054,0.61049568176,254.1875,0.5302329593899999,0.5295464927,0.59103549123,0.57591569483,0.4552163320800001,0.49202898264,0.6708422017100001,0.69572852254,0.7035937011200001,0.4215884459000001,0.2673156333,0.26524637759,0.7835159814399999,0.22786784902,0.1913840425,0.39164748967,0.33140418887,0.0097018050685,2671.6677791,5.0911688246,0.003256315463,896.71901668,1.7088007491,1.4361922095,0.068129971921,0.3893056003470001,0.7352080501965679,0.15690654591177064,0.03886838591100002,0.16531868293899993,0.7649169320191992,0.13189414460983695,0.04552515250499999,0.4413708892450001,0.6790197936379525,0.20746658213825345,1.0
754,26640.227494,0.58691771328,261.15384615,0.57921612669,0.53781555864,0.49285344373,0.50348071483,0.51898180422,0.5894946171500001,0.60245654258,0.6666448820699999,0.66763626716,0.6572720787699999,0.18115173551,0.19589502534000006,0.77309876545,0.24429905956,0.2056695145,0.36022281240000004,0.26507043805,0.0080848375571,2529.9884271,4.5226701687,0.0026542138483,830.58320863,1.4847711791999998,1.2758216995,0.05589865540900001,0.475311793115,0.9750156361643242,0.004722826545160415,0.04175430773300001,0.12601978880499995,0.9552551822648144,0.011285257041096298,0.040980307284,0.453270790318,0.9765954689240378,0.0042830506508985495,1.0
189,30975.827894,0.46373834461,304.44444444,0.5235310329899999,0.39235569651,0.32709307915,0.34683372701,0.3883124228,0.4336790022,0.35045553451,0.41806192057,0.51021223622,0.5131868161300001,0.036539191278,0.032983055029,0.6081487909000001,0.12288968425,0.064229866174,0.11187889572999997,0.021524002077,0.010779783409,2650.4640665,5.3452248383,0.0033767574744,830.25548912,1.6743868813999998,1.5078600877,0.04182673920100002,0.384006696947,0.8598003701455993,0.061674191216855974,0.010797354480699996,0.0390202644597,0.38069793782573497,0.5272575352452439,0.010459949882999996,0.35608867176900005,0.423746392725394,0.4770812776706924,1.0
269,147197.20322,0.3996392068,301.82442748,0.61929133859,0.5255956801,0.6083609625399999,0.43657131291,0.51377248955,0.54485969951,0.60576440939,0.5820985149600001,0.70037680979,0.6111183292,0.12728520262,0.28460171525,0.60033085158,0.20892511219,0.19286182058,0.24947895132,0.26674383661,0.029644404376,1534.4791964,6.7445327343,0.0095699041262,495.36562135,2.1772922412,1.9025975573,0.023055581416000004,0.5421758576040001,0.5862914050136602,0.29880911028056706,0.031826951343,0.113578130635,0.9222052977376991,0.025740978465044848,0.03830463239400002,0.4216993880819999,0.9169960204685424,0.028346523965830792,2.0
510,28261.110312,0.48615767675,545.02173913,0.36594773478,0.3507659508300001,0.54328811461,0.14602331252999998,0.13880063904,0.25500054471,0.29087915228,0.37253520199,0.33720132299000005,0.42119928077,-0.053409920138,0.23528087305,0.50878017561,0.019708053849,-0.073091317808,0.093042263323,0.073290953926,0.0086238267275,2328.2507878,4.4808962689,0.0027746165746,749.08778084,1.4416765839,1.2640374999,0.028728203777,0.31059428166499997,0.6463061578070564,0.2386563014087493,0.043928663865600015,-0.1198779849664,0.9386382796537764,0.0180776472230948,0.060510229216,0.059117082461999974,0.9633956103750648,0.00836054494016295,1.0
