,PT_NDMI_0,PT_NDMI_1,PT_NDMI_2,PT_NDMI_3,PT_NDMI_4,PT_NDMI_5,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_0,PT_NDVI_1,PT_NDVI_2,PT_NDVI_3,PT_NDVI_4,PT_NDVI_5,area,LT_mag,TXU_asm,TXU_HOM,TXU_ENT,TXU_CON,Area,Perimeter,P/A,P/sqrt(A),Max.Distanc,D/A,D/sqrt(A),Shape Index,ndvi_rvalue,ndmi_rvalue,nbr_rvalue,ndvi_slope,ndmi_slope,nbr_slope,label
30025,0.08,0.18,0.14,0.21,0.13,0.14,0.19,0.44,0.43,0.48,0.42,0.4,0.05,0.4,0.4,0.29,0.44,0.39,16682.96,313.88,0.08,0.01,1.06,7464.53,0.0,0.01,4094.51,5.94,0.0,1458.89,2.12,1.68,0.6292962847204303,0.26383120202877863,0.53926320450061,0.048857142857142856,0.0062857142857142894,0.029714285714285717,2.0
49618,-0.04,-0.0,-0.01,0.06,0.08,0.11,0.05,0.12,0.11,0.19,0.24,0.27,0.23,0.3,0.33,0.39,0.42,0.45,13114.61,543.15,0.1,0.02,1.88,58461.1,0.0,0.01,3710.65,5.1,0.0,1086.9,1.49,1.44,0.9891563402146232,0.967912086746998,0.9764583551409542,0.043428571428571434,0.030285714285714287,0.044000000000000004,2.0
32080,0.21,0.27,0.31,0.38,0.38,0.26,0.48,0.56,0.61,0.69,0.69,0.51,0.38,0.5,0.65,0.67,0.64,0.52,22096.07,461.38,0.13,0.01,1.62,104730.58,0.0,0.01,4064.04,7.1,0.0,1525.14,2.66,2.0,0.5377597798035529,0.5069725735256384,0.3714506592361211,0.03257142857142857,0.01857142857142857,0.01771428571428571,2.0
51975,-0.08,-0.06,-0.06,0.14,-0.04,0.06,0.17,0.02,0.06,0.3,0.14,0.29,0.32,0.24,0.33,0.09,0.38,0.37,27553.68,502.4,0.09,0.03,1.72,2731.22,0.0,0.01,3201.34,6.16,0.0,1074.26,2.07,1.74,0.21072777750791447,0.5875838197693545,0.5560483865526489,0.012285714285714285,0.027428571428571438,0.03428571428571429,1.0
9343,0.05,0.01,0.08,0.06,0.11,0.07,0.24,0.27,0.37,0.34,0.4,0.36,0.28,0.42,0.52,0.53,0.5,0.5,29139.15,325.47,0.09,0.01,2.1,68445.89,0.0,0.01,2240.39,4.4,0.0,782.76,1.54,1.24,0.7549285604552565,0.6105780111871593,0.8280786712108249,0.03857142857142857,0.010857142857142857,0.027428571428571427,1.0
26679,-0.05,-0.02,0.02,-0.05,-0.05,-0.02,0.24,0.26,0.31,0.25,0.26,0.25,0.38,0.36,0.42,0.4,0.39,0.4,25774.94,279.88,0.09,0.01,1.96,10953.55,0.0,0.01,2684.3,4.96,0.0,850.32,1.57,1.4,0.44516449608142494,-0.01918000184767361,-0.021524880100025155,0.004857142857142864,-0.00028571428571428584,-0.0002857142857142844,1.0
21638,0.04,0.07,0.13,0.13,0.13,0.11,0.33,0.37,0.37,0.44,0.45,0.42,0.4,0.47,0.42,0.54,0.56,0.45,441568.34,396.94,0.03,0.01,3.11,51197.97,0.0,0.07,1249.8,9.32,0.02,292.66,2.18,2.63,0.5312468757507635,0.7422697403507299,0.8608985299504407,0.01828571428571429,0.015142857142857144,0.021714285714285717,2.0
38949,-0.0,0.15,0.08,0.11,0.02,0.08,0.24,0.4,0.38,0.42,0.31,0.3,0.39,0.26,0.52,0.56,0.45,0.35,42224.59,446.83,0.06,0.01,2.52,16783.31,0.0,0.02,2444.66,6.07,0.0,690.24,1.71,1.71,0.19699172685322805,0.03836000369534729,0.05391265523477445,0.011714285714285714,0.0011428571428571455,0.0019999999999999953,1.0
34065,0.26,0.09,0.15,0.17,0.37,0.21,0.61,0.22,0.43,0.45,0.64,0.5,0.51,0.25,0.46,0.45,0.28,0.56,8093.93,312.31,0.11,0.01,0.43,245.73,0.0,0.0,4452.78,4.65,0.0,1442.44,1.51,1.31,0.1406123753675863,0.33388546340233743,0.25870101785749194,0.009428571428571435,0.017428571428571425,0.020857142857142852,1.0
35909,0.08,0.16,0.26,0.15,0.18,0.24,0.39,0.47,0.5,0.46,0.49,0.57,0.46,0.59,0.4,0.52,0.6,0.59,15053.92,268.42,0.13,0.03,1.1,11279.35,0.0,0.01,3445.6,4.91,0.0,1185.32,1.69,1.39,0.5190721227825802,0.6144583070274698,0.8384450090629625,0.022857142857142854,0.021428571428571432,0.02628571428571428,2.0
39914,-0.04,0.03,0.04,0.0,0.03,0.04,0.23,0.31,0.33,0.23,0.34,0.33,0.4,0.43,0.37,0.31,0.48,0.52,50612.29,403.6,0.06,0.02,2.43,14302.38,0.0,0.02,2289.55,5.98,0.01,758.29,1.98,1.69,0.4869509985678493,0.612608827303015,0.5107215502611387,0.019714285714285715,0.010285714285714285,0.014000000000000005,1.0
